ORG ID,source,identifier,amount
1,other,transferred to Passion Conferences account on June 27,30000
2,other,check 90964 received 7/3,22500
3,other,check 24405 received 7/1,4000
4,other,check 127446 received 7/10,6250
6,other,check 1167 received 7/1,2000
8,other,check 1577 received 6/25,3750
12,other,check 23586 received 6/27,2000
14,other,check 11584 received 7/3,10000
20,other,check 036993 received 9/3,2000
39,other,check 26977 received 7/3,3250
46,other,check 49684 received 9/5,2000
53,other,check 36218310 received 9/5,2400
60,other,check 23649 received 10/2,2500
64,other,check 17126 received 10/31,4000
75,other,check 5007 received 12/19,1000
80,other,check 0088061689 received 1/9,1750
81,other,check 10365 received 1/9,1000
83,other,check 21553 received 1/23,1250
85,other,check 190 received 1/15,800
89,other,check 004066 received 1/15,1250
100,other,check 1191 received 1/23,1300
101,other,check 104891 received 2/6,2500
102,other,check 30506 received 1/29,1250
113,other,check 4950 received 2/6,700
132,other,check 89211 received 8/8,1500
5,stripe,pi_1EuP9yAD1oCai5xuqlzItzzW,2450
7,stripe,ch_1El5WcAD1oCai5xu2499HHSy,7500
9,stripe,ch_1El5nqAD1oCai5xuc6jUsJ6A,5600
10,stripe,ch_1El6EWAD1oCai5xukZeHwevJ,6000
11,stripe,ch_1El6EfAD1oCai5xuqXlSM2tq,1000
13,stripe,ch_1El6c8AD1oCai5xuC0IqJpXQ,2000
16,stripe,ch_1ElI6GAD1oCai5xuo3DAK15B,750
18,stripe,ch_1ElODfAD1oCai5xuGGLHVZGb,2400
19,stripe,ch_1ElSwKAD1oCai5xugtaeOCAg,1500
21,stripe,ch_1ElfR0AD1oCai5xubGvB9NVo,600
22,stripe,ch_1ElfiTAD1oCai5xuTro0xHbO,2000
23,stripe,pi_1G0r8bAD1oCai5xue0AoKrmc,2000
25,stripe,ch_1EmMxZAD1oCai5xust5LMx3s,2500
26,stripe,pi_1EtzKXAD1oCai5xulE6Y0zpa,8750
28,stripe,ch_1EmP4NAD1oCai5xuepnwV2tQ,1000
29,stripe,ch_1EmRyKAD1oCai5xua78Gq0HG,3000
30,stripe,ch_1EmSP0AD1oCai5xul2pF5v53,2000
31,stripe,ch_1EmXCMAD1oCai5xu4aAMenOY,1400
32,stripe,pi_1FJjd9AD1oCai5xuwG3pdfRB,1000
33,stripe,ch_1EmgodAD1oCai5xuwHWgvORi,2800
34,stripe,ch_1EmhHwAD1oCai5xuxPU1QE9F,1500
35,stripe,ch_1EmiITAD1oCai5xuz9Emzbij,1250
